Time,Voltage
,
0,0.034179688
5.027,2.119140625
,
5.037,2.119140625
,
5.047,2.12890625
,
5.057,2.12890625
,
5.067,2.133789063
,
5.077,2.138671875
,
5.086,2.138671875
,
5.096,2.138671875
,
5.106,2.1484375
,
5.116,2.1484375
,
5.126,2.1484375
,
5.136,2.153320313
,
5.146,2.153320313
,
5.156,2.163085938
,
5.166,2.163085938
,
5.176,2.1484375
,
5.186,2.172851563
,
5.195,2.177734375
,
5.205,2.177734375
,
5.215,2.182617188
,
5.225,2.182617188
,
5.235,2.172851563
,
5.245,2.192382813
,
5.255,2.197265625
,
5.265,2.192382813
,
5.275,2.202148438
,
5.284,2.202148438
,
5.294,2.211914063
,
5.304,2.20703125
,
5.314,2.211914063
,
5.324,2.216796875
,
5.334,2.2265625
,
5.344,2.221679688
,
5.354,2.231445313
,
5.364,2.221679688
,
5.374,2.241210938
,
5.383,2.231445313
,
5.393,2.241210938
,
5.403,2.241210938
,
5.413,2.250976563
,
5.423,2.241210938
,
5.433,2.255859375
,
5.443,2.255859375
,
5.453,2.24609375
,
5.463,2.255859375
,
5.473,2.270507813
,
5.482,2.260742188
,
5.492,2.275390625
,
5.502,2.270507813
,
5.512,2.280273438
,
5.522,2.280273438
,
5.532,2.28515625
,
5.542,2.28515625
,
5.552,2.28515625
,
5.562,2.294921875
,
5.571,2.294921875
,
5.581,2.299804688
,
5.591,2.294921875
,
5.601,2.309570313
,
5.611,2.3046875
,
5.621,2.314453125
,
5.631,2.309570313
,
5.641,2.319335938
,
5.651,2.319335938
,
5.661,2.329101563
,
5.67,2.32421875
,
5.68,2.333984375
,
5.69,2.329101563
,
5.7,2.338867188
,
5.71,2.333984375
,
5.72,2.338867188
,
5.73,2.338867188
,
5.74,2.353515625
,
5.75,2.34375
,
5.76,2.358398438
,
5.769,2.358398438
,
5.779,2.36328125
,
5.789,2.36328125
,
5.799,2.368164063
,
5.809,2.368164063
,
5.819,2.368164063
,
5.829,2.368164063
,
5.839,2.377929688
,
5.849,2.377929688
,
5.859,2.3828125
,
5.869,2.387695313
,
5.879,2.392578125
,
5.888,2.397460938
,
5.898,2.397460938
,
5.908,2.40234375
,
5.918,2.407226563
,
5.928,2.412109375
,
5.938,2.407226563
,
5.948,2.416992188
,
5.958,2.416992188
,
5.968,2.421875
,
5.977,2.426757813
,
5.987,2.426757813
,
5.997,2.426757813
,
6.007,2.426757813
,
6.017,2.436523438
,
6.027,2.436523438
,
6.037,2.44140625
,
6.047,2.431640625
,
6.057,2.451171875
,
6.067,2.451171875
,
6.077,2.451171875
,
6.086,2.446289063
,
6.096,2.446289063
,
6.106,2.451171875
,
6.116,2.465820313
,
6.126,2.451171875
,
6.136,2.470703125
,
6.146,2.470703125
,
6.156,2.475585938
,
6.166,2.48046875
,
6.176,2.475585938
,
6.185,2.485351563
,
6.195,2.490234375
,
6.205,2.495117188
,
6.215,2.490234375
,
6.225,2.5
,
6.235,2.495117188
,
6.245,2.490234375
,
6.255,2.5
,
6.265,2.509765625
,
6.275,2.514648438
,
6.284,2.51953125
,
6.294,2.51953125
,
6.304,2.524414063
,
6.314,2.524414063
,
6.324,2.529296875
,
6.334,2.529296875
,
6.344,2.534179688
,
6.354,2.534179688
,
6.364,2.543945313
,
6.374,2.5390625
,
6.383,2.548828125
,
6.393,2.543945313
,
6.403,2.55859375
,
6.413,2.553710938
,
6.423,2.55859375
,
6.433,2.553710938
,
6.443,2.563476563
,
6.453,2.563476563
,
6.463,2.568359375
,
6.472,2.568359375
,
6.482,2.578125
,
6.492,2.573242188
,
6.502,2.573242188
,
6.512,2.568359375
,
6.522,2.587890625
,
6.532,2.587890625
,
6.542,2.592773438
,
6.552,2.587890625
,
6.562,2.59765625
,
6.572,2.59765625
,
6.581,2.607421875
,
6.591,2.602539063
,
6.601,2.612304688
,
6.611,2.607421875
,
6.621,2.612304688
,
6.631,2.612304688
,
6.641,2.622070313
,
6.651,2.612304688
,
6.661,2.626953125
,
6.67,2.626953125
,
6.68,2.631835938
,
6.69,2.631835938
,
6.7,2.63671875
,
6.71,2.63671875
,
6.72,2.641601563
,
6.73,2.646484375
,
6.74,2.651367188
,
6.75,2.651367188
,
6.76,2.65625
,
6.77,2.65625
,
6.779,2.661132813
,
6.789,2.666015625
,
6.799,2.661132813
,
6.809,2.670898438
,
6.819,2.670898438
,
6.829,2.67578125
,
6.839,2.67578125
,
6.849,2.685546875
,
6.859,2.680664063
,
6.869,2.685546875
,
6.879,2.685546875
,
6.888,2.685546875
,
6.898,2.690429688
,
6.908,2.705078125
,
6.918,2.6953125
,
6.928,2.705078125
,
6.938,2.700195313
,
6.948,2.709960938
,
6.958,2.705078125
,
6.968,2.719726563
,
6.978,2.709960938
,
6.988,2.705078125
,
6.998,2.71484375
,
7.007,2.724609375
,
7.017,2.724609375
